0,0,402,11,0
0,0,917,27,0
0,0,887,14,0
42,1,437,10,0
41,1,86,3,0
30,1,74,2,0
77,2,127,3,0
0,0,401,11,0
0,0,691,10,0
429,2,517,12,0
48,1,277,6,0
0,0,41,2,0
0,0,1943,20,0
179,2,224,7,0
0,0,169,4,0
105,3,155,5,0
314,4,0,0,0
0,0,0,0,0
223,6,0,0,0
304,6,25,1,0
47,1,94,3,0
0,0,597,9,0
0,0,72,3,0
0,0,817,12,0
0,0,411,13,0
245,6,825,22,0
0,0,0,0,0
84,1,763,23,0
0,0,220,8,0
50,1,434,9,0
0,0,220,5,0
230,5,0,0,0
0,0,427,6,0
0,0,0,0,0
0,0,27,1,0
0,0,119,1,0
0,0,0,0,0
83,2,0,0,0
0,0,127,3,0
128,2,37,1,0
199,3,0,0,0
0,0,2022,10,0
0,0,728,12,0
248,4,19,1,0
0,0,0,0,0
0,0,269,8,0
0,0,264,6,0
104,2,563,15,0
62,1,1369,16,0
107,3,284,9,0
0,0,186,3,0
0,0,23,1,0
188,5,530,5,0
62,1,93,1,0
0,0,35,1,0
31,1,17,1,0
204,3,0,0,0
0,0,0,0,0
52,1,178,4,0
106,2,627,6,0
0,0,38,2,0
251,4,479,10,0
176,5,20,1,0
65,2,177,4,0
0,0,0,0,0
0,0,23,1,0
94,2,0,0,0
484,9,1694,34,0
135,4,1087,28,0
34,1,0,0,0
142,4,1453,20,0
51,1,161,4,0
117,2,652,8,0
270,1,2260,16,0
184,3,19,1,0
68,2,0,0,0
0,0,107,3,0
0,0,344,1,0
131,3,0,0,0
522,9,0,0,0
116,3,0,0,0
651,3,0,0,0
43,1,49,2,0
28,1,0,0,0
0,0,245,5,0
0,0,0,0,0
31,1,0,0,0
1502,16,0,0,0
311,5,0,0,0
0,0,0,0,0
80,1,0,0,0
0,0,120,1,0
0,0,0,0,0
0,0,0,0,0
50,1,0,0,0
63,1,233,7,0
0,0,623,14,0
0,0,0,0,0
59,1,0,0,0
0,0,0,0,0
116,2,460,7,0
80,2,259,8,0
248,6,21,1,0
